xloc,yloc,q,t0
2.068528e+01,-9.139572e+00,7.869120e+00,1.204765e+01
2.059218e+01,-9.789514e+00,7.984084e+00,1.197160e+01
2.086819e+01,-9.638887e+00,7.609784e+00,1.215921e+01
2.034695e+01,-9.242717e+00,7.845932e+00,1.216186e+01
2.038121e+01,-9.598395e+00,8.260941e+00,1.181672e+01
2.039904e+01,-9.124499e+00,7.932007e+00,1.195270e+01
2.088055e+01,-9.083797e+00,7.913953e+00,1.205241e+01
2.073004e+01,-9.148250e+00,7.947297e+00,1.202559e+01
2.028327e+01,-9.528659e+00,8.110801e+00,1.154288e+01
2.021354e+01,-9.387674e+00,8.270704e+00,1.196464e+01
2.057274e+01,-9.666217e+00,7.855646e+00,1.173390e+01
2.084259e+01,-9.443734e+00,8.060398e+00,1.209073e+01
2.068686e+01,-9.496205e+00,7.811936e+00,1.207559e+01
2.068799e+01,-9.337850e+00,7.923087e+00,1.243513e+01
2.031926e+01,-9.564437e+00,8.004804e+00,1.206281e+01
2.020456e+01,-9.202973e+00,8.290406e+00,1.196934e+01
2.041124e+01,-9.186007e+00,8.154807e+00,1.211938e+01
2.023405e+01,-9.132686e+00,8.206580e+00,1.179939e+01
2.065971e+01,-9.764696e+00,7.741254e+00,1.181003e+01
2.018235e+01,-9.374968e+00,8.165271e+00,1.160504e+01
2.077852e+01,-9.513435e+00,7.816811e+00,1.197047e+01
2.006461e+01,-9.404533e+00,8.168653e+00,1.181991e+01
2.018721e+01,-9.237259e+00,8.071112e+00,1.200557e+01
2.033975e+01,-9.822207e+00,8.057392e+00,1.178496e+01
2.030645e+01,-9.340316e+00,8.019521e+00,1.164659e+01
2.035999e+01,-9.795854e+00,8.042344e+00,1.206453e+01
2.032699e+01,-9.023268e+00,7.940043e+00,1.172447e+01
2.058375e+01,-9.337144e+00,7.946163e+00,1.172271e+01
2.034501e+01,-9.238205e+00,8.043374e+00,1.201269e+01
2.022770e+01,-9.087166e+00,7.806126e+00,1.195425e+01
2.061043e+01,-9.326559e+00,7.821387e+00,1.130042e+01
2.049269e+01,-9.281768e+00,7.884181e+00,1.195538e+01
